First Name,Last Name,Email,Father Name,Mother Name,Date of Birth,Mobile No,Category,Gender,Classroom,Subjects,Current Address,Permanent Address,Weight,Height
Natalie,Brown,natalie.brown@schoolmail.com,Ryan Wall,Pamela Gordon,2008-12-07,9225647058,OTHERS,Male,10th,"Maths, Science, English, Social Studies, Hindi","38253 Jeffery Divide, Lake Cathyland, AZ 45492","Unit 1159 Box 1714, DPO AA 39303",52,5.6
Yvonne,Flores,yvonne.flores@schoolmail.com,Charles Robinson,Alexandra Roberson,2011-09-09,9885910195,OBC,Female,10th,"Maths, Science, English, Social Studies, Hindi","Unit 2211 Box 4539, DPO AE 99658","8249 Mason Burgs Apt. 634, East Jessica, MD 34003",60,4.7
Adam,Smith,adam.smith@schoolmail.com,Xavier Barr,Jennifer Grant,2011-09-14,1518014831,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","4869 Dickerson Hill, Sarahfort, MT 58846","7390 Christopher Freeway, Lake Dustin, HI 47565",44,4.8
Scott,Sherman,scott.sherman@schoolmail.com,Adam Colon,Nicole Chung,2011-04-02,6174750319,GENERAL,Male,10th,"Maths, Science, English, Social Studies, Hindi","83786 Rodriguez Throughway, North Kathleenfurt, LA 50845","445 Warner Cliffs, Loriside, MD 03356",61,4.7
Joseph,Brewer,joseph.brewer@schoolmail.com,Jacob Lyons,Amber Tucker,2009-10-13,1502845297,GENERAL,Female,10th,"Maths, Science, English, Social Studies, Hindi","4163 Kimberly Square, Combsstad, KS 08950","0352 Aaron Loaf, North Russellmouth, MI 70630",68,4.7
Tiffany,Orozco,tiffany.orozco@schoolmail.com,Kevin Vaughn,Veronica Downs,2009-03-13,9984933077,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","5167 Timothy Crescent Apt. 930, South Michael, RI 46258","29179 Bailey Row Apt. 215, East Rebecca, AZ 20744",60,5.4
Joshua,Barnes,joshua.barnes@schoolmail.com,Philip Mendoza,Mary Rangel,2008-12-18,1429472281,OBC,Male,10th,"Maths, Science, English, Social Studies, Hindi","22798 Harper Tunnel Suite 371, South Timothy, MD 37992","07451 Valencia Motorway Apt. 102, New Hannahhaven, PA 19602",63,5.2
Victor,Parker,victor.parker@schoolmail.com,Michael Harvey,Karen Lloyd,2011-01-25,2579346475,SC,Female,10th,"Maths, Science, English, Social Studies, Hindi","91296 Mark Lodge Suite 650, Adrianview, AZ 99859","245 Jones Run, Barrmouth, VA 42023",62,4.9
Lisa,Ramos,lisa.ramos@schoolmail.com,Melvin Rodgers,Erica Moyer,2009-04-17,7024175410,SC,Male,10th,"Maths, Science, English, Social Studies, Hindi","862 Christopher Crossroad, Lake Donna, OK 61931","USCGC Mckinney, FPO AA 73491",49,4.5
Paul,Pollard,paul.pollard@schoolmail.com,Benjamin Gilmore,Leslie Matthews,2011-04-13,9903822879,GENERAL,Female,10th,"Maths, Science, English, Social Studies, Hindi","077 Emily Village, Faithfort, DC 59601","205 Little Prairie, Perezchester, IL 90059",41,5.7
Matthew,Kim,matthew.kim@schoolmail.com,Michael Nichols,Linda Sandoval,2009-05-01,6012984744,SC,Female,10th,"Maths, Science, English, Social Studies, Hindi","0392 Kimberly Road, Port Rachelport, AL 46957","1771 Bennett Cape, New Carl, UT 90806",53,5.3
Shawn,Roy,shawn.roy@schoolmail.com,William Anderson,Angela Lynch,2008-10-16,7048298467,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","44277 Collins Pine Apt. 647, Stevenstad, MD 22014","56873 Roberta Crest Apt. 181, North Carlos, TN 28898",44,4.7
James,Rogers,james.rogers@schoolmail.com,Bill Rosario,Audrey Sanchez,2010-06-08,4851647039,OBC,Female,10th,"Maths, Science, English, Social Studies, Hindi","264 Nancy Roads Suite 375, North Chris, AL 37322","744 Antonio Dam Suite 558, Katelynburgh, OH 04663",48,5.8
Shelley,Dominguez,shelley.dominguez@schoolmail.com,Michael Miller,Autumn Arroyo MD,2011-07-08,2958376442,OBC,Male,10th,"Maths, Science, English, Social Studies, Hindi","USCGC Wyatt, FPO AA 76783","958 Martin Trace, Hardinburgh, MT 78180",54,5.1
Daniel,Martin,daniel.martin@schoolmail.com,Harold Alexander,Samantha Nguyen,2010-08-19,0928858055,ST,Male,10th,"Maths, Science, English, Social Studies, Hindi","813 Joshua Glens Suite 365, South Elizabeth, SD 27508","37844 Michael Skyway Suite 363, Wendybury, PA 22507",69,5.3
James,Martinez,james.martinez@schoolmail.com,Jesse Rowe,Courtney Baker,2010-03-01,5306390513,OTHERS,Male,10th,"Maths, Science, English, Social Studies, Hindi","66301 Brown Road, Wrightland, PA 80918","017 Sydney Views Apt. 985, New Matthew, WV 26272",64,5.8
David,Hall,david.hall@schoolmail.com,Xavier Wright,Jodi Obrien,2009-11-25,9624753136,OBC,Male,10th,"Maths, Science, English, Social Studies, Hindi","52706 Wilson Lane Suite 532, Ingramview, NH 19686","3527 Thomas Overpass Apt. 579, East Kimberlyhaven, KY 69659",52,5.0
Monica,Stewart,monica.stewart@schoolmail.com,Michael Hamilton,Brenda Jackson,2010-10-18,8683580317,OTHERS,Male,10th,"Maths, Science, English, Social Studies, Hindi","09139 Brian Throughway Suite 662, New Lawrence, AZ 07952","7127 Carrie Divide, Parkerborough, WV 38175",42,5.2
Carolyn,Benson,carolyn.benson@schoolmail.com,James Rodriguez,Valerie Taylor,2010-07-15,5448074490,OTHERS,Female,10th,"Maths, Science, English, Social Studies, Hindi","01265 Austin Crossing, Franklinland, NE 11696","Unit 9495 Box 5854, DPO AP 71354",50,5.2
Michael,Hammond,michael.hammond@schoolmail.com,Wesley Ross,Laura Murphy,2010-07-04,1885016463,OTHERS,Female,10th,"Maths, Science, English, Social Studies, Hindi","2562 Stephanie Key Apt. 752, Port William, KS 77079","55898 Sarah Street, Mikemouth, OK 01076",58,5.0
Matthew,Tucker,matthew.tucker@schoolmail.com,Jared Wilson,Dawn Rodriguez,2008-11-06,4991091338,OTHERS,Female,10th,"Maths, Science, English, Social Studies, Hindi","964 Julie Inlet Suite 260, Port Joshuaside, MT 46702","8397 Garcia Fort Suite 814, East Rachaelville, SD 02628",45,5.3
Angela,Mccarty,angela.mccarty@schoolmail.com,Mr. Austin Mcbride MD,Susan Key,2009-01-24,7845415932,SC,Female,10th,"Maths, Science, English, Social Studies, Hindi","84206 Christina Passage, New Regina, NM 62738","USCGC Velasquez, FPO AE 43829",59,4.5
Whitney,Martinez,whitney.martinez@schoolmail.com,Raymond Reyes,Samantha Robbins,2011-05-03,4539143954,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","94282 Strickland Light Apt. 269, New Philip, MS 17611","367 Miller Well Apt. 833, Lake Jeanneton, FL 18246",49,4.8
Donald,Gonzalez,donald.gonzalez@schoolmail.com,Craig Jimenez,Lisa Garcia,2010-10-21,3237281614,OTHERS,Female,10th,"Maths, Science, English, Social Studies, Hindi","365 Zuniga Rue Apt. 081, Flowersport, IN 12993","9220 Bruce Plain, Jamesmouth, KY 22652",64,5.6
Stephanie,Bowen,stephanie.bowen@schoolmail.com,Scott Berger DDS,Jennifer Kirk,2008-10-12,9489122081,GENERAL,Female,10th,"Maths, Science, English, Social Studies, Hindi","735 David Underpass, Millsmouth, PA 90670","9668 Phillip Garden, North Tracyview, IL 24185",59,5.9
Richard,Holt,richard.holt@schoolmail.com,Jon Johnston,Samantha Ramirez,2009-11-29,7452186662,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","2794 Billy Course Apt. 230, North Luke, AK 70871","473 Christopher Squares, Boothside, PA 88276",41,4.6
Daniel,Day,daniel.day@schoolmail.com,Benjamin Graham,Meagan Glover PhD,2009-09-17,2364222607,ST,Male,10th,"Maths, Science, English, Social Studies, Hindi","8423 Christopher Stravenue, Townsendstad, MI 06018","PSC 8958, Box 3855, APO AP 59185",40,4.9
Angela,Thompson,angela.thompson@schoolmail.com,David Boyd,Lauren Ramirez,2010-06-03,4291819104,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","70302 Holt Forest, New Heather, NH 70090","5213 Cordova Vista, Lake Sharonhaven, DC 40466",65,4.6
Mary,Kirby,mary.kirby@schoolmail.com,Jose Walker,Shirley Hill,2010-05-06,1991710324,ST,Male,10th,"Maths, Science, English, Social Studies, Hindi","USNS Moss, FPO AP 09421","9778 Victor Road Suite 272, North Jennifermouth, NJ 63297",46,5.3
Patricia,Parrish,patricia.parrish@schoolmail.com,John Adkins,Mia Nguyen,2010-10-31,9409086633,ST,Male,10th,"Maths, Science, English, Social Studies, Hindi","PSC 2093, Box 4604, APO AE 00738","227 Estes Loaf, Mariaside, AK 85783",43,5.4
Kim,Campbell,kim.campbell@schoolmail.com,David Watts,Jasmine Holt,2010-04-24,8801497150,ST,Male,10th,"Maths, Science, English, Social Studies, Hindi","580 Steele Lake Apt. 860, New Angelashire, KS 03142","1552 White Loop, Melissafurt, WI 35026",69,5.7
Susan,Sawyer,susan.sawyer@schoolmail.com,Donald Rodriguez,Alexandria Coleman,2009-11-17,4310695908,SC,Male,10th,"Maths, Science, English, Social Studies, Hindi","20510 Ray Road, South Tammy, AR 44424","17076 Matthew Isle Suite 905, South Valeriemouth, ID 89577",60,5.2
Natalie,Anderson,natalie.anderson@schoolmail.com,Michael Sparks,Melody Adkins,2010-05-01,6796697670,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","64304 Melissa Tunnel, North Joseph, AZ 74031","394 Crystal Union Suite 392, Cainshire, CA 12676",60,5.0
Shawn,Davidson,shawn.davidson@schoolmail.com,Pedro Newton DDS,Debra Reid,2010-05-26,3990351267,OBC,Male,10th,"Maths, Science, English, Social Studies, Hindi","PSC 4935, Box 4667, APO AA 67805","9638 Stark Courts, Port Stephaniestad, MI 67546",40,4.7
Theresa,Ellis,theresa.ellis@schoolmail.com,James Tran,Cathy Solis,2011-08-29,9845393043,OBC,Male,10th,"Maths, Science, English, Social Studies, Hindi","PSC 9702, Box 8232, APO AP 42644","0694 Brown Stravenue, Travisborough, IN 03842",43,5.5
Dakota,Chambers,dakota.chambers@schoolmail.com,Ryan Williams,Virginia Gill,2009-03-05,8242225774,GENERAL,Female,10th,"Maths, Science, English, Social Studies, Hindi","641 Jerry Court, South Caitlynshire, AZ 18307","5337 Casey Loaf, Port Lisafurt, NY 39736",43,5.8
Jose,Wright,jose.wright@schoolmail.com,William Doyle,Erica Soto,2011-06-18,3999973287,OBC,Female,10th,"Maths, Science, English, Social Studies, Hindi","81966 Hood Springs Apt. 487, Lake Louisborough, MS 41053","24919 Robert Lane Suite 760, Port Christopherhaven, NE 63772",61,5.9
Tonya,Robinson,tonya.robinson@schoolmail.com,Aaron Andrews,Jennifer Coleman,2010-04-15,0215435407,GENERAL,Male,10th,"Maths, Science, English, Social Studies, Hindi","1654 Carter Gateway Suite 718, Lake Virginiaberg, VT 45230","187 Walter Trace Suite 508, Matthewview, AK 52866",44,4.8
